MOVIES,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,primera_letra
Blood Red Sky,"
Action, Horror, Thriller            ",6.1,"
A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.","
    Director:
Peter Thorwarth
| 
    Stars:
Peri Baumeister, 
Carl Anton Koch, 
Alexander Scheer, 
Kais Setti
",21062,121.0,B
Dexter,"
Crime, Drama, Mystery            ",8.6,"
By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","
            
    Stars:
Michael C. Hall, 
Jennifer Carpenter, 
David Zayas, 
James Remar
",665387,53.0,D
Gunpowder Milkshake,"
Action, Adventure, Thriller            ",6,"
Three generations of women fight back against those who could take everything from them.","
    Director:
Navot Papushado
| 
    Stars:
Karen Gillan, 
Lena Headey, 
Carla Gugino, 
Michelle Yeoh
",17989,114.0,G
Fear Street: 1994,"
Drama, Horror, Mystery            ",6.2,"
A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.","
    Director:
Leigh Janiak
| 
    Stars:
Kiana Madeira, 
Olivia Scott Welch, 
Benjamin Flores Jr., 
Julia Rehwald
",50148,107.0,F
American Horror Story,"
Drama, Horror, Thriller            ",8,"
An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.","
            
    Stars:
Lady Gaga, 
Kathy Bates, 
Angela Bassett, 
Sarah Paulson
",286488,60.0,A
Grey's Anatomy,"
Drama, Romance            ",7.5,"
A drama centered on the personal and professional lives of five surgical interns and their supervisors.","
            
    Stars:
Ellen Pompeo, 
Chandra Wilson, 
James Pickens Jr., 
Justin Chambers
",266258,41.0,G
Breaking Bad,"
Crime, Drama, Thriller            ",9.4,"
A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","
            
    Stars:
Bryan Cranston, 
Aaron Paul, 
Anna Gunn, 
Betsy Brandt
",1552311,49.0,B
Atypical,"
Comedy, Drama            ",8.3,"
Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.","
            
    Stars:
Jennifer Jason Leigh, 
Keir Gilchrist, 
Brigette Lundy-Paine, 
Michael Rapaport
",71544,30.0,A
Fear Street: 1978,"
Drama, Horror, Mystery            ",6.8,"
Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.","
    Director:
Leigh Janiak
| 
    Stars:
Sadie Sink, 
Emily Rudd, 
Ryan Simpkins, 
McCabe Slye
",36634,109.0,F
Friends,"
Comedy, Romance            ",8.9,"
Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.","
            
    Stars:
Jennifer Aniston, 
Courteney Cox, 
Lisa Kudrow, 
Matt LeBlanc
",880918,22.0,F
Chernobyl,"
Drama, History, Romance            ",5,"
A story about a heroic fireman who worked as one of Chernobyl liquidators.","
    Director:
Danila Kozlovskiy
| 
    Stars:
Danila Kozlovskiy, 
Oksana Akinshina, 
Filipp Avdeev, 
Ravshana Kurkova
",4681,136.0,C
Better Call Saul,"
Crime, Drama            ",8.8,"
The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","
            
    Stars:
Bob Odenkirk, 
Rhea Seehorn, 
Jonathan Banks, 
Patrick Fabian
",347857,46.0,B
Fear Street: 1666,"
Horror, Mystery            ",6.7,"
The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.","
    Director:
Leigh Janiak
| 
    Stars:
Kiana Madeira, 
Ashley Zukerman, 
Gillian Jacobs, 
Olivia Scott Welch
",27447,114.0,F
Animal Kingdom,"
Crime, Drama            ",8.2,"
Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.","
            
    Stars:
Shawn Hatosy, 
Ben Robson, 
Jake Weary, 
Finn Cole
",26926,60.0,A
Brooklyn Nine-Nine,"
Comedy, Crime            ",8.4,"
Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","
            
    Stars:
Andy Samberg, 
Stephanie Beatriz, 
Terry Crews, 
Melissa Fumero
",248583,22.0,B
Downton Abbey,"
Drama, Romance            ",8.7,"
A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.","
            
    Stars:
Hugh Bonneville, 
Phyllis Logan, 
Elizabeth McGovern, 
Brendan Coyle
",171804,58.0,D
Black Mirror,"
Drama, Sci-Fi, Thriller            ",8.8,"
An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","
            
    Stars:
Daniel Lapaine, 
Hannah John-Kamen, 
Michaela Coel, 
Beatrice Robertson-Jones
",469407,60.0,B
Army of the Dead,"
Action, Crime, Horror            ",5.8,"
Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","
    Director:
Zack Snyder
| 
    Stars:
Dave Bautista, 
Ella Purnell, 
Ana de la Reguera, 
Omari Hardwick
",132378,148.0,A
Fargo,"
Crime, Drama, Thriller            ",8.9,"
Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","
            
    Stars:
Billy Bob Thornton, 
Martin Freeman, 
Allison Tolman, 
Colin Hanks
",341221,53.0,F
Community,"
Comedy            ",8.5,"
A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.","
            
    Stars:
Joel McHale, 
Danny Pudi, 
Donald Glover, 
Chevy Chase
",231013,22.0,C
Good Girls,"
Comedy, Crime, Drama            ",7.8,"
Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.","
            
    Stars:
Christina Hendricks, 
Retta, 
Mae Whitman, 
Reno Wilson
",38618,43.0,G
Evil,"
Crime, Drama, Horror            ",7.7,"
A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.","
            
    Stars:
Katja Herbers, 
Mike Colter, 
Aasif Mandvi, 
Maddy Crocco
",15048,42.0,E
A Classic Horror Story,"
Drama, Horror, Mystery            ",5.7,"
In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.","
    Directors:
Roberto De Feo, 
Paolo Strippoli
| 
    Stars:
Matilda Anna Ingrid Lutz, 
Francesco Russo, 
Peppino Mazzotta, 
Will Merrick
",8822,95.0,A
Feels Like Ishq,"
Comedy, Drama, Romance            ",6.6,"
Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.","
            
    Stars:
Jojo Singh, 
Mihir Ahuja, 
Kajol Chugh, 
Sumali Khaniwale
",848,32.0,F
Gilmore Girls,"
Comedy, Drama            ",8.1,"
A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.","
            
    Stars:
Lauren Graham, 
Alexis Bledel, 
Keiko Agena, 
Scott Patterson
",106650,44.0,G
Family Guy,"
Animation, Comedy            ",8.1,"
In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.","
            
    Stars:
Seth MacFarlane, 
Alex Borstein, 
Seth Green, 
Mila Kunis
",312584,22.0,F
Daredevil,"
Action, Crime, Drama            ",8.6,"
A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","
            
    Stars:
Charlie Cox, 
Vincent D'Onofrio, 
Deborah Ann Woll, 
Elden Henson
",374963,54.0,D
Dark,"
Crime, Drama, Mystery            ",8.8,"
A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","
            
    Stars:
Louis Hofmann, 
Karoline Eichhorn, 
Lisa Vicari, 
Maja Schöne
",312629,60.0,D
Boku no hîrô akademia,"
Animation, Action, Adventure            ",8.4,"
A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.","
            
    Stars:
Daiki Yamashita, 
Nobuhiko Okamoto, 
Ayane Sakura, 
Justin Briner
",44367,24.0,B
Cobra Kai,"
Action, Comedy, Drama            ",8.6,"
Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","
            
    Stars:
Courtney Henggeler, 
Mary Mouser, 
Tanner Buchanan, 
Ralph Macchio
",122268,30.0,C
Gotham,"
Action, Crime, Drama            ",7.8,"
The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.","
            
    Stars:
Ben McKenzie, 
Jada Pinkett Smith, 
Donal Logue, 
Camren Bicondova
",216458,42.0,G
